Smiles,Molecule Name,Standard Value,Standard Units
O=C1N(C2CCN(Cc3ccc(C4=C(c5ccccc5)NC(=O)C(Cc5ccc(O)cc5)=N4)cc3)CC2)c2c(N1)cccc2,,50000,nM
O=C(N[C@@](C(=O)N)CCCNC(=N)N)[C@](NC(=O)CCCCCNC(=O)[C@](NC(=O)CCCCCNC(=O)c1ccccc1)CCCCN)CCCNC(=N)N,,360000,nM
Clc1ccc([C@](NC(=O)C2(N)CCN(c3ncnc4[nH]ccc34)CC2)C)cc1,,523,nM
O=C(O)c1c(Nc2nc(Nc3cc4c([nH]nc4)cc3)ncc2)cccc1,,7943.2798,nM
Clc1c(Cl)ccc(-c2c(-c3ncncc3)c[nH]n2)c1,,10000,nM
O(CCCNCCc1ccc(OC)cc1)c1c2n(CC)c(-c3c(N)non3)nc2c(C#CC(O)(C)C)nc1,,16,nM
Clc1c(-c2n(C)ncc2Cl)cc(C(=O)N[C@](CN)Cc2c(C(F)(F)F)cccc2)o1,,25.120001,nM
Clc1c(C[C@@](N)C(=O)N2CCN(c3ncnc4c3cccc4)CC2)cccc1,,25110,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(c(-c2cocc2)nc1)-c1cc2c(C)[nH]nc2cc1,,1,nM
Clc1ccc(C(NC(=O)C2(N)CCN(c3ncnc4[nH]ccc34)CC2)c2ccccc2)cc1,,270,nM
O(C[C@@](N)Cc1c2c([nH]c1)cccc2)c1cc(-c2cc3c(C)n[nH]c3cc2)cnc1,A-443654,51,nM
Clc1ccc(CCNC(=O)c2sc(-c3nc(NC)ncc3)cc2)cc1,,1100,nM
Fc1c(NC(=O)Nc2ccc(-c3c4c(N)ncc(C(=O)NC)c4sc3)cc2)cc(C)cc1,,10000,nM
O=C(N(C)C)Nc1cc2nc(c(-c3occc3)nc2cc1)-c1occc1,,7943.2798,nM
Brc1cc2c([nH]c3-c4c(NC(=O)Cc23)cccc4)cc1,KENPAULLONE,10000,nM
O(CC(N)Cc1c2c([nH]c1)cccc2)c1cc(-c2sc3c(c2)ccnc3)cnc1,,25.120001,nM
O(CCN1CCOCC1)c1cc2-c3[nH]nc(-c4cnc(C#N)cc4)c3Cc2cc1,,10000,nM
O=C(NC(C)c1cc(OC)ccc1)N1CC=C(c2c3c([nH]c2)nccc3)CC1,,630.96002,nM
S(=O)(=O)(N)c1ccc(CNC=2C(=O)C(=O)C=2Nc2cc3c(n(C(OC(C)(C)C)=O)nc3)cc2)cc1,,10000,nM
O=C(Nc1c(C)cccc1)Nc1ccc(-c2c3c(N)ncnc3oc2)cc1,,10000,nM
N(c1scc(-c2cc3c([nH]nc3)cc2)n1)c1ccccc1,,10000,nM
Fc1c(-c2c(C3=Nn4c(CC(O)(C)C)nnc4C=C3)n3c(OC=C3)n2)ccc(F)c1,,10000,nM
O(C)c1cc(C=Cc2ccncc2)cnc1,,10000,nM
Clc1cc2C(c3ccccc3)=C(C(=O)Nc2cc1)C1=NNC(c2ccccc2)C1,,10000,nM
O=C(Nc1cc(C)ccc1)Nc1ccc(-c2c3c(N)ncc(C#CCN4CCOCC4)c3sc2)cc1,,10000,nM
OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1,,10000,nM
Fc1c(NC2C(C(=O)N)C3C=CC2C3)nc(Nc2cc(C)c(N3CCN(C)CC3)cc2)nc1,CENISERTIB,10000,nM
O=C(NC)C=Cc1c2scc(-c3cc4nc(C)sc4cc3)c2c(N)nc1,,10000,nM
Clc1c(Cl)ccc2sc(C#N)c(NC(=O)c3ccc(C)cc3)c12,,10000,nM
Brc1c(C=C(C#N)c2[nH]c3c(n2)cc(C)cc3)cc(OC)c(O)c1,,10000,nM
FC(F)(F)c1cc(NC(=O)Nc2ccc(-c3c4c(N)ncc(-c5ccncc5)c4sc3)cc2)c(F)cc1,,10000,nM
O/N=C\1/c2c(cc(-c3c(-c4ccncc4)nn(CCO)c3)cc2)CC/1,,10000,nM
O(c1c2n(CC)c(-c3c(N)non3)nc2cnc1)C1CCNCC1,,398,nM
Clc1cc(CCNC(=O)c2sc(-c3nc(NC)ncc3)cc2)ccc1,,5400,nM
Clc1c(C[C@@](NC(=O)c2sc(-c3nc(NC)ncc3)cc2)CN)ccc(Cl)c1,,240,nM
Clc1c(C[C@](NC(=O)c2sc(-c3nc(NC)ncc3)cc2)CN(C)C)ccc(Cl)c1,,11,nM
Fc1cc(NC(=O)Cc2ccc(-n3c(-c4c(N)nccc4)nc4c3nc(-c3cc(NC(=O)C)ccc3)cc4)cc2)ccc1,,2500,nM
Clc1c(F)ccc(-c2c3c(N)ncc(-c4cc(S(=O)(=O)N)ccc4)c3sc2)c1,GW856804X,10000,nM
O=C(Nc1noc(C(C)(C)C)c1)Nc1ccc(-c2nc3Sc4c(-n3c2)ccc(OCCN2CCOCC2)c4)cc1,QUIZARTINIB,10000,nM
S(=O)(C)c1ccc(-c2[nH]c(c(-c3ccc(F)cc3)n2)-c2ccncc2)cc1,SB-203580,10000,nM
Clc1c(C(=O)Nc2c(C(=O)NC3CCNCC3)n[nH]c2)c(Cl)ccc1,AT-7519,10000,nM
O=C(N1CCNCC1)c1ccc(/C=C/c2n[nH]c3c2cccc3)cc1,KW-2449,10000,nM
O(Cc1ccc(OC)cc1)c1c(OC)cc(Cc2c(N)nc(N)nc2)cc1,GW632580X,10000,nM
OC[C@](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)CC,SELICICLIB,10000,nM
S(=O)(=O)(N1CCNCCC1)c1c2c(c(O)ncc2)ccc1,HYDROXYFASUDIL,30000,nM
Fc1c(F)ccc(C2=C(C(=O)/C=C/c3[nH]c4c(n3)cc(F)c(F)c4)C(=O)Nc3c2cc(F)cc3)c1,,1640,nM
N(C)c1nc2nc(c(-c3ccccc3)cc2cn1)-c1ccc(CN2CCC(c3[nH]c(-c4ncccc4)nn3)CC2)cc1,,2474,nM
O=C1NCc2c3c4n([C@]5(C)[C@](OC)[C@](NC)C[C@@](O5)n5c4c(c4c5cccc4)c12)c1c3cccc1,STAUROSPORINE,10,nM
O=C(c1c(N)n(-c2cc3[nH]c(C)nc3cc2)nc1)c1[nH]c2c(c1)cccc2,FGFR INHIBITOR DEBIO 1347,30000,nM
Clc1c(-c2cc(C(=O)N[C@](CO)c3cc(Cl)ccc3)[nH]c2)cc(NC(C)C)nc1,ULIXERTINIB,30000,nM
